Continent,Country,Population_Density,Fertility_Rate,GDP_PPP,Corruption,Government_Effectiveness,Political_Stability,Rule_of_Law,Government_Healthcare_Spend,Urban_Population,Smoking_Prevalence,Tourism,Women_In_Parliament,Obesity_Rate,Year,Diabetes Prevelance % of Population 20-79,Labour Force Total,Population,Population Aged 65 and above % of Total,Urban Population,Death Rate Per 1000 (2017),PM2.5 mean annual exposure,PM2.5 population exposed exceeding levels,Total Covid Cases,Total Covid Deaths,Covid Cases per Pop. 1000,Covid Deaths per Pop. 1000,Land Border Countries,Passengerkm
Europe,Luxembourg,242.0,1.61,95100.0,2.087755,1.7782209999999998,1.373404,1.810886,0.8485649,,0.235,1018000.0,0.25,0.226,2019.0,5.0,310000.0,619896.0,14.27494888,565488.0,7.1,10.364637400000001,68.77562274,8979,128,14.484687754074876,0.20648624930633527,3,2.0598107950056
Africa,Madagascar,47.6,3.97,1520.0,-1.0007270000000001,-1.1531209999999998,-0.5190363,-0.8139714,0.4688049,0.11900000000000001,,291000.0,0.1589404,0.053,2019.0,4.5,13851504.0,26969307.0,3.044064128,10210849.0,6.185,22.54228288,100.0,16600,234,0.6155145180408231,0.008676529953105581,0,1.536268447431001
Asia,Malaysia,98.5,1.97,30000.0,0.3139765,1.075348,0.2373901,0.6233373999999999,0.5185847,0.244,0.215,25832000.0,0.1441441,0.156,2019.0,16.7,15673198.0,31949777.0,6.920771309,24475766.0,5.013999999999999,16.03580871,90.53734381,13504,141,0.42266335693047247,0.004413176342357569,3,68.06148900291987
Europe,Malta,1380.0,1.5,40400.0,0.5799018,0.9687959999999999,1.294193,1.053974,0.6306818000000001,,0.255,2599000.0,0.14925370000000002,0.289,2019.0,8.3,243422.0,502653.0,20.81717275,475902.0,7.6,13.90954337,100.0,3374,40,6.712384090018363,0.07957776040330009,0,5.652841622011003
Africa,Mauritius,626.0,1.42,22700.0,0.2696345,0.8760849,0.8728379999999999,0.7796614000000001,0.4286723,,0.21600000000000003,1399000.0,0.2,0.10800000000000001,2019.0,22.0,610685.0,1265711.0,11.99872723,515980.0,8.0,14.45782732,100.0,395,10,0.31207755956928557,0.007900697710614824,0,9.086920373092001
North America,Mexico,66.3,2.07,18100.0,-0.8628517,-0.15338800000000002,-0.572437,-0.6737109,0.5151246,0.408,0.14,41313000.0,0.48200000000000004,0.289,2019.0,13.5,57142190.0,127575529.0,7.416660604,102626859.0,5.933,20.92111579,99.65612655,769558,79714,6.032175653373148,0.6248376990856922,3,72.75811412695082
Asia,Mongolia,2.11,2.59,13200.0,-0.4277897,-0.23334770000000002,0.7887995,-0.2664937,0.6168831,0.48100000000000004,0.256,529000.0,0.1733333,0.20600000000000002,2019.0,4.7,1331891.0,3225167.0,4.189333452,2210626.0,6.2989999999999995,40.11284905,97.01398059,315,0,0.09766936099743052,0.0,2,1.02972910003
Africa,Morocco,82.7,2.35,7980.0,-0.21640340000000002,-0.20929589999999998,-0.3318862,-0.1384849,0.42905340000000003,0.218,0.23399999999999999,12289000.0,0.20506329999999998,0.261,2019.0,7.0,12067484.0,36471769.0,7.300454771,22975026.0,5.072,32.59354146,100.0,137248,2410,3.7631297785418636,0.0660785058163754,3,24.000317441325212
Asia,Myanmar,83.3,2.13,6620.0,-0.588294,-1.068652,-1.3090110000000001,-1.0325790000000001,0.1479479,0.12300000000000001,0.203,3551000.0,0.11316400000000001,0.057999999999999996,2019.0,3.9,24690588.0,54045420.0,6.0117046,16674093.0,8.206,35.55745292,100.0,20033,471,0.3706697070723107,0.008714892029703904,5,3.8529851111889983
Africa,Namibia,3.09,3.19,9660.0,0.33995990000000004,0.10644200000000001,0.6537775,0.2449811,0.46143059999999997,,0.214,,0.42708329999999994,0.172,2019.0,4.5,937006.0,2494530.0,3.608054423,1273258.0,8.23,25.3587654,100.0,11673,125,4.679438611682361,0.050109639892083876,4,1.8528002596229995
Asia,Nepal,203.0,2.0,3020.0,-0.6736505,-0.9023382999999999,-0.6251459,-0.4780528,0.2234031,0.0481,0.228,1173000.0,0.3272727,0.040999999999999995,2019.0,7.2,16885875.0,28608710.0,5.782567617000001,5765513.0,6.404,99.73437372,100.0,90814,563,3.174347952074735,0.01967932143742238,2,5.403798030484191
Europe,Netherlands,508.0,1.76,51200.0,2.009026,1.850466,0.8682934000000001,1.8163610000000001,0.6439796999999999,0.124,0.258,18780000.0,0.3133333,0.204,2019.0,5.4,9275661.0,17332850.0,19.60531972,15924729.0,8.8,12.03440807,99.59814148,144838,6473,8.356271472954536,0.3734527212778049,2,105.31877575035091
Oceania,New Zealand,18.3,1.95,36700.0,2.174696,1.670251,1.541482,1.876294,0.7545738000000001,0.322,0.16,3686000.0,0.4083333,0.308,2019.0,6.2,2764798.0,4917000.0,15.99395617,4258860.0,6.95,5.956001129,0.0,1505,25,0.3060809436648363,0.005084401057555419,0,36.4165699188098
Africa,Nigeria,226.0,5.25,5300.0,-1.0448899999999999,-1.022591,-2.1927,-0.8809231,0.1418326,0.16699999999999998,0.057999999999999996,,0.03380282,0.08899999,2019.0,3.1,59873566.0,200963599.0,2.743083338,102806948.0,12.114,71.79817438,100.0,59583,1113,0.29648652938386116,0.005538316419183954,4,8.816662003952473
Europe,Norway,14.8,1.83,67500.0,2.089907,1.8871189999999998,1.153804,1.9656310000000001,0.8547305000000001,0.192,0.20199999999999999,5688000.0,0.40828400000000004,0.231,2019.0,5.3,2818011.0,5347896.0,17.27266592,4418218.0,7.7,6.956519803,2.0438378,14604,275,2.730793568162133,0.05142209197785447,3,19.79472770987911
Asia,Oman,16.5,2.4,36000.0,0.2460828,0.18657820000000003,0.6545911999999999,0.4648626,0.8774277,0.302,0.111,2301000.0,0.02325581,0.27,2019.0,10.1,2793208.0,4974986.0,2.448589805,4250777.0,2.4619999999999997,41.11523827,100.0,102648,990,20.63282188130781,0.19899553486180663,3,15.7461765040101
Asia,Pakistan,287.0,3.23,5020.0,-0.7907338,-0.6338443,-2.267435,-0.6730217,0.3158506,0.20199999999999999,0.201,,0.202346,0.086,2019.0,19.9,73943766.0,216565318.0,4.322407709,79927762.0,6.994,58.28241877,100.0,316351,6535,1.4607648303132268,0.030175653518076242,4,19.478901515217
North America,Panama,58.0,2.41,24300.0,-0.5670270000000001,-0.019452,0.2771547,-0.0592212,0.5991856,0.429,0.061,1785000.0,0.2112676,0.22699999999999998,2019.0,7.7,2070438.0,4246439.0,8.313836605,2890084.0,5.048,11.40005433,71.63674766,116602,2440,27.458771926312846,0.5745990934992826,2,22.10392664779288
Oceania,Papua New Guinea,19.8,3.47,3950.0,-0.8760094999999999,-0.6773402,-0.6669980999999999,-0.7658504,0.7541254,,0.363,140000.0,0.0,0.213,,,,,,,,,,541,7,,,1,1.0526879345312008
South America,Peru,25.8,2.29,13300.0,-0.5401052,-0.24543089999999998,-0.2593005,-0.5170875,0.6335170999999999,0.325,0.048,4419000.0,0.3,0.19699999999999998,2019.0,6.6,18864899.0,32510453.0,8.39347886,25390339.0,5.438,24.78672805,99.96292629,832929,32914,25.620344324331622,1.0124128384184619,5,22.526649424129047
Asia,Philippines,368.0,2.81,8640.0,-0.5448154000000001,0.0495094,-1.121844,-0.4776694,0.3191047,0.14300000000000002,0.243,7168000.0,0.2796053,0.064,2019.0,7.1,44815390.0,108116615.0,5.31499622,50975903.0,5.8389999999999995,18.06979891,96.37065877,326833,5865,3.0229673764758545,0.0542469813728445,0,47.382467449436845
Europe,Poland,124.0,1.29,30900.0,0.6414219,0.6626508000000001,0.5450124,0.4278919,0.6896726,0.0468,0.28,19622000.0,0.2869565,0.231,2019.0,6.1,18260472.0,37970874.0,18.11689725,22796574.0,10.6,20.87782222,99.96611573,104316,2717,2.747263599989824,0.07155484490559791,7,29.52972266027277
Europe,Portugal,111.0,1.24,29800.0,0.8498304,1.208909,1.140031,1.1409120000000001,0.6625460999999999,0.414,0.22699999999999998,16186000.0,0.3869565,0.20800000000000002,2019.0,9.8,5239181.0,10269417.0,22.35669072,6753579.0,10.7,8.160752248,16.00835663,80312,2032,7.820502371264113,0.19786907085377875,1,48.871781160924385
Asia,Qatar,248.0,1.83,116000.0,0.7248945,0.6312364,0.6783724,0.7346736999999999,0.8073726,,0.20600000000000002,1819300.0,0.09756098,0.35100000000000003,2019.0,15.6,2124504.0,2832067.0,1.523163117,2809071.0,1.169,91.18732793,100.0,126943,216,44.82344520804063,0.07626938204498693,1,80.72423498564858
